案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,屏東縣,屏東縣東港鎮,東港鎮,"5,699","13,456","19,155","1,835","20,990","39,495"
第14案,屏東縣,屏東縣恆春鎮,恆春鎮,"3,613","7,664","11,277",786,"12,063","25,661"
第14案,屏東縣,屏東縣萬丹鄉,萬丹鄉,"6,538","14,763","21,301","1,917","23,218","43,478"
第14案,屏東縣,屏東縣長治鄉,長治鄉,"4,391","8,870","13,261","1,202","14,463","26,256"
第14案,屏東縣,屏東縣麟洛鄉,麟洛鄉,"1,695","3,660","5,355",371,"5,726","9,970"
第14案,屏東縣,屏東縣九如鄉,九如鄉,"2,870","6,438","9,308","1,113","10,421","19,132"
第14案,屏東縣,屏東縣里港鄉,里港鄉,"3,647","7,278","10,925","1,225","12,150","22,128"
第14案,屏東縣,屏東縣鹽埔鄉,鹽埔鄉,"3,263","7,500","10,763",880,"11,643","22,402"
第14案,屏東縣,屏東縣高樹鄉,高樹鄉,"3,064","6,504","9,568","1,117","10,685","21,697"
第14案,屏東縣,屏東縣萬巒鄉,萬巒鄉,"2,591","5,675","8,266",900,"9,166","17,945"
第14案,屏東縣,屏東縣內埔鄉,內埔鄉,"6,425","14,587","21,012","1,607","22,619","47,558"
第14案,屏東縣,屏東縣竹田鄉,竹田鄉,"2,437","5,438","7,875",865,"8,740","15,353"
第14案,屏東縣,屏東縣新埤鄉,新埤鄉,"1,201","2,953","4,154",407,"4,561","9,033"
第14案,屏東縣,屏東縣枋寮鄉,枋寮鄉,"2,916","7,210","10,126","1,218","11,344","21,394"
第14案,屏東縣,屏東縣新園鄉,新園鄉,"4,401","10,267","14,668","1,535","16,203","30,706"
第14案,屏東縣,屏東縣崁頂鄉,崁頂鄉,"1,904","3,962","5,866",570,"6,436","12,270"
第14案,屏東縣,屏東縣林邊鄉,林邊鄉,"2,351","5,531","7,882",860,"8,742","15,691"
第14案,屏東縣,屏東縣南州鄉,南州鄉,"1,592","2,968","4,560",462,"5,022","9,479"
第14案,屏東縣,屏東縣佳冬鄉,佳冬鄉,"2,422","5,049","7,471",981,"8,452","17,063"
第14案,屏東縣,屏東縣琉球鄉,琉球鄉,"1,062","3,341","4,403",345,"4,748","10,706"
第14案,屏東縣,屏東縣車城鄉,車城鄉,968,"1,913","2,881",266,"3,147","7,595"
第14案,屏東縣,屏東縣滿州鄉,滿州鄉,887,"1,982","2,869",210,"3,079","7,206"
第14案,屏東縣,屏東縣枋山鄉,枋山鄉,682,"1,568","2,250",212,"2,462","4,856"
